CurTest,  Enabled, CurEndPoint,Path, CurTestName
koreaignite,FALSE,40.80.236.108,,jediprod.txt
demonocrashshort,FALSE,52.254.110.48,,jedi_short.txt
democrashshort,FALSE,20.186.53.140,,jedi_short.txt
apprepaircentralusshort,FALSE,52.189.66.234,,jedi_short.txt
prod,FALSE,40.65.212.95,,jediprod.txt
demonocrash,FALSE,52.254.110.48,,jediprod.txt
democrash,FALSE,20.186.53.140,,jediprod.txt
apprepaireastusLarge,FALSE,52.184.232.19,,jediprod.txt
apprepaircentralus,FALSE,52.189.66.234,,jediprod.txt
democrashfunction,FALSE,52.254.63.95,,jediprod.txt
apprepairkorea,FALSE,40.80.236.108,,jediprod.txt
ignitekorea,FALSE,40.80.236.108,,annandaleignite.txt
ignitecus,FALSE,52.189.66.234,,annandaleignite.txt
ignitekorealong,FALSE,40.80.236.108,,annandaleignitelong.txt
hackathonpritesh,FALSE,40.80.233.23,,annandaleignitelong.txt
korea2,FALSE,40.80.232.149,,jediprod.txt
pause,FALSE,40.1.1.1,,jediprod.txt
CanaryBaseline,FALSE,40.79.121.185,?marco,jediprod.txt
SLB,FALSE,52.230.224.146,?peek,jediprod.txt
AppRepairTest,FALSE,52.230.220.193 ,?peek,jediprod.txt
prod2,FALSE,40.65.212.95,?marco,jediprod.txt
Bing,FALSE,www.bing.com,,singlepoke.txt
awsEastUs1-dynamo,TRUE,Metrics-ALB-US-East-1-334850805.us-east-1.elb.amazonaws.com,dynamo,eastus1-dynamo.txt
awsEastUs1-s3,TRUE,Metrics-ALB-US-East-1-334850805.us-east-1.elb.amazonaws.com,s3,eastus1-s3.txt
awsEastUs1-s3,TRUE,Metrics-ALB-US-East-1-334850805.us-east-1.elb.amazonaws.com,s3,eastus1-s3.txt
awsEastUs1-rds,TRUE,Metrics-ALB-US-East-1-334850805.us-east-1.elb.amazonaws.com,rds,eastus1-rds.txt
awsEastUs1-rds,TRUE,Metrics-ALB-US-East-1-334850805.us-east-1.elb.amazonaws.com,rds,eastus1-rds.txt
awsEastUs1-dynamo,TRUE,Metrics-ALB-US-East-1-334850805.us-east-1.elb.amazonaws.com,dynamo,eastus1-dynamo.txt
awsEastUs1-peek,TRUE,Metrics-ALB-US-East-1-334850805.us-east-1.elb.amazonaws.com,peek,eastus1-peek.txt
awsEastUs2-dynamo,TRUE,Metrics-ALB-US-East-2-538738870.us-east-2.elb.amazonaws.com,dynamo,eastus2-dynamo.txt
awsEastUs2-s3,TRUE,Metrics-ALB-US-East-2-538738870.us-east-2.elb.amazonaws.com,s3,eastus2-s3.txt
awsEastUs2-s3,TRUE,Metrics-ALB-US-East-2-538738870.us-east-2.elb.amazonaws.com,s3,eastus2-s3.txt
awsEastUs2-rds,TRUE,Metrics-ALB-US-East-2-538738870.us-east-2.elb.amazonaws.com,rds,eastus2-rds.txt
awsEastUs2-rds,TRUE,Metrics-ALB-US-East-2-538738870.us-east-2.elb.amazonaws.com,rds,eastus2-rds.txt
awsEastUs2-dynamo,TRUE,Metrics-ALB-US-East-2-538738870.us-east-2.elb.amazonaws.com,dynamo,eastus2-dynamo.txt
awsEastUs2-peek,TRUE,Metrics-ALB-US-East-2-538738870.us-east-2.elb.amazonaws.com,peek,eastus2-peek.txt
awsWestUs1-dynamo,TRUE,Metrics-ALB-US-West-1-223610828.us-west-1.elb.amazonaws.com,dynamo,westus1-dynamo.txt
awsWestUs1-s3,TRUE,Metrics-ALB-US-West-1-223610828.us-west-1.elb.amazonaws.com,s3,westus1-s3.txt
awsWestUs1-s3,TRUE,Metrics-ALB-US-West-1-223610828.us-west-1.elb.amazonaws.com,s3,westus1-s3.txt
awsWestUs1-rds,TRUE,Metrics-ALB-US-West-1-223610828.us-west-1.elb.amazonaws.com,rds,westus1-rds.txt
awsWestUs1-rds,TRUE,Metrics-ALB-US-West-1-223610828.us-west-1.elb.amazonaws.com,rds,westus1-rds.txt
awsWestUs1-dynamo,TRUE,Metrics-ALB-US-West-1-223610828.us-west-1.elb.amazonaws.com,dynamo,westus1-dynamo.txt
awsWestUs1-peek,TRUE,Metrics-ALB-US-West-1-223610828.us-west-1.elb.amazonaws.com,peek,westus1-peek.txt
awsWestUs2-dynamo,TRUE,Metrics-ALB-US-West-2-1590566410.us-west-2.elb.amazonaws.com,dynamo,westus2-dynamo.txt
awsWestUs2-s3,TRUE,Metrics-ALB-US-West-2-1590566410.us-west-2.elb.amazonaws.com,s3,westus2-s3.txt
awsWestUs2-s3,TRUE,Metrics-ALB-US-West-2-1590566410.us-west-2.elb.amazonaws.com,s3,westus2-s3.txt
awsWestUs2-rds,TRUE,Metrics-ALB-US-West-2-1590566410.us-west-2.elb.amazonaws.com,rds,westus2-rds.txt
awsWestUs2-rds,TRUE,Metrics-ALB-US-West-2-1590566410.us-west-2.elb.amazonaws.com,rds,westus2-rds.txt
awsWestUs2-dynamo,TRUE,Metrics-ALB-US-West-2-1590566410.us-west-2.elb.amazonaws.com,dynamo,westus2-dynamo.txt
awsWestUs2-peek,TRUE,Metrics-ALB-US-West-2-1590566410.us-west-2.elb.amazonaws.com,peek,westus2-peek.txt
CanaryNRP,FALSE,52.225.185.188,?marco,jediprod.txt
azcatsynthprod,FALSE,52.138.116.190,?marco,jediprod.txt
pause,FALSE,40.1.1.1,,jediprod.txt
azcatsynthapprepair,FALSE,52.138.115.71,?marco,jediprod.txt
azcatsynthj1,FALSE,52.154.165.23,?peek,jediprod.txt
pause,FALSE,40.1.1.1,,jediprod.txt
pause,FALSE,40.1.1.1,,jediprod.txt
pause,FALSE,40.1.1.1,,jediprod.txt
pause,FALSE,40.1.1.1,,jediprod.txt
pause,FALSE,40.1.1.1,,jediprod.txt
